"Date","Chrome","Safari","UC Browser","Firefox","Opera","IE","Samsung Internet","Edge","Android","KaiOS","QQ Browser","Yandex Browser","IEMobile","Coc Coc","Puffin","Sony PS4","Chromium","Sogou Explorer","mCent","Maxthon","BlackBerry","Nokia","Unknown","360 Safe Browser","Vivaldi","Phantom","Mozilla","Tizen","Pale Moon","Other"
2018-01,56.31,14.44,8.29,5.66,3.96,3.2,2.84,1.89,1.79,0,0.24,0.28,0.22,0.1,0.08,0.07,0.06,0.05,0,0.05,0.07,0.09,0.04,0.03,0.02,0.03,0.01,0.04,0.02,0.12
2018-02,57.46,14.39,7.91,5.5,3.69,3.06,2.92,1.86,1.72,0,0.24,0.28,0.21,0.07,0.08,0.08,0.05,0.05,0,0.05,0.07,0.05,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0.1
2018-03,57.64,14.81,7.37,5.38,3.65,3.11,2.72,1.93,1.62,0.22,0.27,0.28,0.2,0.1,0.08,0.08,0.06,0.07,0,0.05,0.06,0.04,0.03,0.02,0.02,0.03,0.01,0.02,0.01,0.1
2018-04,57.36,13.96,7.88,5.45,3.83,3.21,2.69,1.98,1.59,0.34,0.38,0.25,0.19,0.14,0.09,0.08,0.06,0.08,0,0.07,0.06,0.05,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.11
2018-05,58.09,13.78,8.16,5.27,3.68,3.08,2.59,1.91,1.51,0.38,0.33,0.23,0.17,0.14,0.08,0.07,0.07,0.06,0,0.05,0.05,0.04,0.03,0.02,0.02,0.04,0.02,0.01,0.02,0.1
2018-06,58.94,13.7,7.46,5.17,3.5,3.12,2.67,1.89,1.56,0.4,0.43,0.23,0.17,0.13,0.09,0.06,0.07,0.06,0,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.1
2018-07,59.69,13.85,7.03,5.02,3.35,3.01,2.71,1.88,1.56,0.4,0.36,0.22,0.16,0.11,0.09,0.07,0.07,0.05,0,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.09
2018-08,59.67,14.51,6.28,4.93,3.5,3.03,2.87,1.9,1.42,0.43,0.28,0.22,0.15,0.11,0.1,0.07,0.07,0.05,0,0.04,0.04,0.04,0.03,0.07,0.02,0.02,0.02,0.01,0.01,0.09
2018-09,60.6,14.85,5.42,5.01,3.38,2.85,2.82,1.99,1.31,0.44,0.21,0.24,0.14,0.1,0.11,0.07,0.07,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0,0.02,0.01,0.01,0.08
2018-10,61.55,15.13,4.41,5.02,3.16,2.88,2.76,2.08,1.18,0.45,0.2,0.26,0.12,0.11,0.1,0.07,0.08,0.05,0.11,0.04,0.03,0.02,0.03,0.01,0.02,0,0.03,0,0.01,0.08
2018-11,61.77,15.09,4.22,4.92,3.15,2.81,2.73,2.15,1.18,0.49,0.19,0.27,0.12,0.11,0.1,0.07,0.08,0.07,0.18,0.04,0.02,0.03,0.03,0.01,0.02,0,0.03,0,0.01,0.1
2018-12,62.28,14.69,4.21,4.93,3.13,2.55,2.94,2.03,1.18,0.56,0.2,0.26,0.12,0.11,0.12,0.06,0.08,0.05,0.22,0.04,0.02,0.03,0.03,0.02,0.02,0,0.02,0,0.01,0.08
2019-01,61.72,15.23,3.83,4.66,2.91,2.7,3.64,2.13,1.15,0.54,0.22,0.24,0.1,0.09,0.12,0.06,0.08,0.08,0.21,0.04,0.02,0.03,0.03,0.03,0.02,0,0.03,0,0.01,0.07
