"Date","Android","Windows","iOS","OS X","Unknown","Linux","Chrome OS","KaiOS","Series 40","Samsung","Nokia Unknown","Playstation","Tizen","Firefox OS","BlackBerry OS","SymbianOS","Xbox","LG","Other"
2018-01,40.05,36.56,12.9,5.61,2.53,0.66,0.39,0,0.26,0.18,0.15,0.09,0.11,0.26,0.08,0.09,0.03,0.02,0.04
2018-02,40.11,36.69,13.06,5.45,2.46,0.67,0.44,0,0.19,0.15,0.13,0.09,0.09,0.23,0.08,0.08,0.03,0.02,0.03
2018-03,39.59,36.51,13.51,5.53,2.82,0.68,0.45,0.01,0.17,0.14,0.12,0.09,0.08,0.07,0.07,0.07,0.03,0.02,0.03
2018-04,40.06,36.74,12.59,5.88,2.66,0.77,0.44,0.02,0.18,0.14,0.12,0.09,0.09,0,0.07,0.07,0.03,0.02,0.03
2018-05,41.04,36.3,12.43,5.89,2.28,0.74,0.54,0.02,0.16,0.13,0.11,0.08,0.09,0,0.06,0.06,0.03,0.02,0.02
2018-06,41.7,36.19,12.44,5.66,2.14,0.8,0.34,0.01,0.15,0.13,0.11,0.07,0.08,0,0.05,0.05,0.03,0.02,0.02
2018-07,42.26,35.93,12.82,5.39,1.94,0.77,0.22,0.01,0.12,0.13,0.1,0.08,0.07,0,0.05,0.04,0.03,0.01,0.02
2018-08,41.66,35.93,13.5,5.47,1.72,0.77,0.29,0.01,0.12,0.15,0.09,0.08,0.07,0,0.04,0.04,0.02,0.01,0.02
2018-09,40.85,36.23,13.54,5.95,1.31,0.78,0.47,0.29,0.11,0.14,0.08,0.08,0.06,0,0.03,0.03,0.02,0.01,0.02
2018-10,37.13,37.42,13.59,6.55,2.92,0.81,0.55,0.45,0.1,0.14,0.08,0.08,0.06,0,0.03,0.03,0.03,0,0.02
2018-11,32.87,36.71,13.57,6.37,8.05,0.8,0.57,0.49,0.1,0.14,0.07,0.08,0.06,0,0.03,0.03,0.03,0,0.02
2018-12,37.86,36.08,13.47,5.82,4.21,0.82,0.64,0.56,0.09,0.14,0.07,0.07,0.05,0,0.03,0.03,0.03,0,0.01
2019-01,37.55,35.6,14.05,5.79,4.62,0.79,0.55,0.54,0.09,0.14,0.07,0.07,0.05,0,0.03,0.03,0.03,0,0.01
