,Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,1,Wii Sports,"2,006",Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
1,2,Super Mario Bros.,"1,985",Platform,Nintendo,29.0,4.0,7.0,0.77,40.24
2,3,Mario Kart Wii,"2,008",Racing,Nintendo,16.0,13.0,4.0,3.31,35.82
3,4,Wii Sports Resort,"2,009",Sports,Nintendo,16.0,11.0,3.0,2.96,33.0
4,5,Pokemon Red/Pokemon Blue,"1,996",Role-Playing,Nintendo,11.0,9.0,10.0,1.0,31.37
5,6,Tetris,"1,989",Puzzle,Nintendo,23.0,2.0,4.0,0.58,30.26
6,7,New Super Mario Bros.,"2,006",Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
7,8,Wii Play,"2,006",Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
8,9,New Super Mario Bros. Wii,"2,009",Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
9,10,Duck Hunt,"1,984",Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
